"Variable","Category","T1a","T1b","T1NOS","T2","Total","order1","order3","order2","PG","ptcnt"
"Age Group","16-34","12 (< 1.0%)","4 (  1.0%)","5 (< 1.0%)","6 (< 1.0%)","27 (< 1.0%)",1,1,1,1,1
"Age Group","34-52","275 ( 13.1%)","68 ( 17.0%)","111 ( 13.3%)","177 ( 16.3%)","631 ( 14.3%)",1,2,1,1,2
"Age Group","52-70","1113 ( 52.9%)","197 ( 49.2%)","415 ( 49.8%)","569 ( 52.5%)","2294 ( 51.9%)",1,3,1,1,3
"Age Group","70-88","683 ( 32.5%)","124 ( 31.0%)","289 ( 34.7%)","311 ( 28.7%)","1407 ( 31.8%)",1,4,1,1,4
"Age Group","88-106","21 (< 1.0%)","6 (  1.5%)","14 (  1.7%)","21 (  1.9%)","62 (  1.4%)",1,5,1,1,5
"Age Group","Other","0 (  0.0%)","1 (< 1.0%)","0 (  0.0%)","0 (  0.0%)","1 (< 1.0%)",1,6,1,1,6
"Death Status","Alive","1856 ( 88.2%)","329 ( 82.2%)","735 ( 88.1%)","855 ( 78.9%)","3775 ( 85.4%)",2,1,2,1,7
"Death Status","Dead","248 ( 11.8%)","71 ( 17.8%)","99 ( 11.9%)","229 ( 21.1%)","647 ( 14.6%)",2,2,2,1,8
"Race","Asian or Pacific Islander","81 (  3.8%)","13 (  3.2%)","28 (  3.4%)","34 (  3.1%)","156 (  3.5%)",3,1,3,1,9
"Race","Black","198 (  9.4%)","58 ( 14.5%)","94 ( 11.3%)","148 ( 13.7%)","498 ( 11.3%)",3,2,3,1,10
"Race","Other","13 (< 1.0%)","2 (< 1.0%)","3 (< 1.0%)","5 (< 1.0%)","23 (< 1.0%)",3,3,3,1,11
"Race","Other","15 (< 1.0%)","2 (< 1.0%)","7 (< 1.0%)","7 (< 1.0%)","31 (< 1.0%)",3,4,3,1,12
"Race","White","1797 ( 85.4%)","325 ( 81.2%)","702 ( 84.2%)","890 ( 82.1%)","3714 ( 84.0%)",3,5,3,2,1
"Sex","Female","248 ( 11.8%)","54 ( 13.5%)","101 ( 12.1%)","98 (  9.0%)","501 ( 11.3%)",NA,1,NA,2,2
"Sex","Male","1856 ( 88.2%)","346 ( 86.5%)","733 ( 87.9%)","986 ( 91.0%)","3921 ( 88.7%)",NA,2,NA,2,3
